☘️重要提醒🍀,#genre#
肇庆综合,https://zqvlivestream.xjrb.com/zqLiveSlow/209.m3u8
广东云浮综合,https://vlivestream.yftong.cn/yfLiveSlow/648.m3u8
韶关新闻综合,http://www.sgxw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
增城电视台,http://live.zccmc.cn:1920/hls/tv1.m3u8
河源综合,https://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源生活,https://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
广东经济科教,https://jsv-live-play.sfccn.com/live/0718dianshi.m3u8
广州南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd
绍兴文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
河南卫视,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=145
河南电视剧,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=148
河南都市,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=141
河南法治,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=147
河南公共,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=151
河南梨园,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=154
河南民生,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=146
河南新闻,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=149
安阳新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=206
鹤壁新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=207
欢腾购物,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=150
济源一套,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=228
焦作综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=209
睛彩中原,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=157
开封新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=198
洛阳新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=204
漯河新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=221
南阳新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=223
平顶山新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=205
濮阳新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=219
三门峡新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=222
商丘新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=224
文物宝库,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=155
武术世界,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=156
象视界,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=183
新乡新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=208
信阳新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=225
许昌综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=220
郑州新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=197
周口新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=226
驻马店新闻综合,http://jiekou.dpdns.org/xiang/小凯QQ660519941/henan.php?id=227
云南卫视,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=ynws
云南都市,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=ynds
云南康旅,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=ynkl
云南娱乐,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=ynyl
临沧一套,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=lc1
临沧二套,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=lc2
耿马综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=lcgm
保山一套,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=bs1
龙陵综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=bsll
隆阳综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=bsly
玉溪新闻综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=yx1
玉溪社会与法,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=yx2
元江综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=yxyj
楚雄新闻频道,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=cx1
大理新闻综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=dl1
洱源综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=dley
巍山综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=dlws
云龙综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=dlyl
红河新闻综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=hh1
丽江新闻综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=lj1
华坪综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=ljhp
怒江电视台,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=nj1
陆良电视台,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=qjll
文山新闻综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=ws1
昭通一套,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=zt1
德宏综合,http://xiangz.qzz.io:8031/php/php88/yunnan.php?id=dh1
山西卫视,http://xiangz.qzz.io:8031/php/php88/shanxi.php?id=ws
黄河电视台,http://xiangz.qzz.io:8031/php/php88/shanxi.php?id=hh
山西经济与科技,http://xiangz.qzz.io:8031/php/php88/shanxi.php?id=jj
山西影视,http://xiangz.qzz.io:8031/php/php88/shanxi.php?id=ys
山西社会与法治,http://xiangz.qzz.io:8031/php/php88/shanxi.php?id=fz
山西文体生活,http://xiangz.qzz.io:8031/php/php88/shanxi.php?id=wt
海南卫视,http://xiangz.qzz.io:8031/php/php88/hainan.php?id=hnws
三沙卫视,http://xiangz.qzz.io:8031/php/php88/hainan.php?id=ssws
海南新闻,http://xiangz.qzz.io:8031/php/php88/hainan.php?id=hnxw
海南自贸,http://xiangz.qzz.io:8031/php/php88/hainan.php?id=hnzm
海南社会与法,http://xiangz.qzz.io:8031/php/php88/hainan.php?id=hngg
海南少儿,http://xiangz.qzz.io:8031/php/php88/hainan.php?id=hnse
青岛电视台1套,http://xiangz.qzz.io:8031/php/php88/qingdao.php?id=1
青岛电视台2套,http://xiangz.qzz.io:8031/php/php88/qingdao.php?id=2
青岛电视台3套,http://xiangz.qzz.io:8031/php/php88/qingdao.php?id=3
青岛电视台4套,http://xiangz.qzz.io:8031/php/php88/qingdao.php?id=4
青岛电视台5套,http://xiangz.qzz.io:8031/php/php88/qingdao.php?id=6
贵州卫视,http://xiangz.qzz.io:8031/php/php88/贵州/贵州.php?id=1&line=2
贵州公共频道,http://xiangz.qzz.io:8031/php/php88/贵州/贵州.php?id=2&line=2
贵州影视文艺频道,http://xiangz.qzz.io:8031/php/php88/贵州/贵州.php?id=3&line=2
贵州大众生活频道,http://xiangz.qzz.io:8031/php/php88/贵州/贵州.php?id=4&line=2
贵州生态·乡村频道,http://xiangz.qzz.io:8031/php/php88/贵州/贵州.php?id=5&line=2
贵州科教健康频道,http://xiangz.qzz.io:8031/php/php88/贵州/贵州.php?id=6&line=2
贵州经济频道,http://xiangz.qzz.io:8031/php/php88/贵州/贵州.php?id=41&line=2
贵州移动电视,http://xiangz.qzz.io:8031/php/php88/贵州/贵州.php?id=11&line=2
成都新闻频道,http://xiangz.qzz.io:8031/php/php88/四川/cdxl.php?id=cdtv1
成都经济频道,http://xiangz.qzz.io:8031/php/php88/四川/cdxl.php?id=cdtv2
成都生活频道,http://xiangz.qzz.io:8031/php/php88/四川/cdxl.php?id=cdtv3
成都影视频道,http://xiangz.qzz.io:8031/php/php88/四川/cdxl.php?id=cdtv4
成都公共频道,http://xiangz.qzz.io:8031/php/php88/四川/cdxl.php?id=cdtv5
成都少儿频道,http://xiangz.qzz.io:8031/php/php88/四川/cdxl.php?id=cdtv6
成都蓉城先锋,http://xiangz.qzz.io:8031/php/php88/四川/cdxl.php?id=cdrcxf
山东卫视,http://xiangz.qzz.io:8031/php/山东闪电.php?id=sdws
新闻频道,http://xiangz.qzz.io:8031/php/山东闪电.php?id=xwpd
齐鲁频道,http://xiangz.qzz.io:8031/php/山东闪电.php?id=qlpd
体育休闲频道,http://xiangz.qzz.io:8031/php/山东闪电.php?id=txyx
生活频道,http://xiangz.qzz.io:8031/php/山东闪电.php?id=shpd
综艺频道,http://xiangz.qzz.io:8031/php/山东闪电.php?id=zypd
文旅频道,http://xiangz.qzz.io:8031/php/山东闪电.php?id=wlpd
农科频道,http://xiangz.qzz.io:8031/php/山东闪电.php?id=nkpd
少儿频道,http://xiangz.qzz.io:8031/php/山东闪电.php?id=sepd
邢台综合,http://jwplay.hebyun.com.cn/live/xtsrmtzs/1500k/tzwj_video.m3u8
乌鲁木齐综合频道,http://xiangz.qzz.io:8031/php/乌鲁木齐.php?id=xwzh
乌鲁木齐维吾尔语综合频道,http://xiangz.qzz.io:8031/php/乌鲁木齐.php?id=wyzh
山东聊城,http://xiangz.qzz.io:8031/php/liaocheng.php
嘉兴新闻综合,http://xiangz.qzz.io:8031/php/jiaxing.php?id=1
嘉兴文化影视,http://xiangz.qzz.io:8031/php/jiaxing.php?id=2
嘉兴公共,http://xiangz.qzz.io:8031/php/jiaxing.php?id=3
郑州教育,http://xiangz.qzz.io:8031/php/zhengzhou.php
吉林卫视,http://xiangz.qzz.io:8031/php/jilin.php?id=jlws
吉林都市,http://xiangz.qzz.io:8031/php/jilin.php?id=jlds
吉林生活,http://xiangz.qzz.io:8031/php/jilin.php?id=jlsh
吉林影视,http://xiangz.qzz.io:8031/php/jilin.php?id=jlys
吉林乡村,http://xiangz.qzz.io:8031/php/jilin.php?id=jlxc
吉林综艺·文化,http://xiangz.qzz.io:8031/php/jilin.php?id=jlzywh
延边卫视,http://xiangz.qzz.io:8031/php/jilin.php?id=ybws
长春综合,http://xiangz.qzz.io:8031/php/jilin.php?id=cczh
吉林市新闻综合,http://xiangz.qzz.io:8031/php/jilin.php?id=jlszh
四平新闻综合,http://xiangz.qzz.io:8031/php/jilin.php?id=spzh
辽源新闻综合,http://xiangz.qzz.io:8031/php/jilin.php?id=lyzh
通化新闻综合,http://xiangz.qzz.io:8031/php/jilin.php?id=thzh
白山新闻综合,http://xiangz.qzz.io:8031/php/jilin.php?id=bszh
白城新闻综合,http://xiangz.qzz.io:8031/php/jilin.php?id=bczh
浙江频道,#genre#
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Pnew.m3u8
浙江影视,https://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel07/720p.m3u8
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?zzhed
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江数码时代,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江生活,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
浙江钱江都市,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江钱江,http://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8
浙江钱江,http://ali-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel06/720p.m3u8
浙江民生,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江经济,http://ali-m-l.cztv.com/channels/lantian/channel03/720p.m3u8
浙江教育,http://ali-m-l.cztv.com/channels/lantian/channel04/720p.m3u8
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8?zzhed
浙江教科影视,http://ali-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/720p.m3u8
浙江公共新闻,http://ali-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
余杭综合,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8?cWlkPSZzPTg3OWMwYmMyZDMzYTFhZGY3NDQxMjgyYTg1MmUzNTY0JmVzPTE3MDY2Nzc4NzMmdXVpZD0yMjdiY2MzNGNiNGY0MThlYjRiY2IxYzcwNmZjODNkMS02NzQ3NDY2NyZ2PTImYXM9MCZjZG5leF9pZD10eF9waG9uZV9saXZl
余杭综合,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
余杭未来E,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
新昌新闻综合,http://l.cztvcloud.com/channels/lantian/SXxinchang1/720p.m3u8
新昌生活,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
萧山新闻综合,https://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed
萧山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
萧山生活,https://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
萧山生活,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed
象山综合,http://play-sh13.quklive.com/live/1702360350551252.m3u8?auth_key=2037107484-800189c57a5a44d3b823b60cf84f6756-0-a6f6828a62d5c167cff5e68735fa0d39
象山综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8?zzhed
象山新闻综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
文成综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8?zzhed
文成新闻综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8?fbl=
文成新闻综合,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
遂昌综合,http://play-sh13.quklive.com/live/1708426592499070.m3u8?auth_key=2028414342-e92bda8423ad478c987a8b7ae82abe0e-0-c616f7fabb9675e1ed1d84d9edae7e07
松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
嵊泗综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed
衢江新闻综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8?zzhed
庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?zzhed[浙江]洞头综合频道
庆元综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8
庆元新闻综合,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8?fbl=
龙游新闻综合,https://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
龙游新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
龙游生活娱乐,https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8?zzhed
龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
开化新闻综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8?zzhed
开化新闻综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8
开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8
缙云综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8?zzhed
缙云新闻综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8?fbl=
缙云新闻综合,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
东阳影视生活,http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
苍南新闻综合,https://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8
苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8?zzhed
苍南新闻综合,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?fbl=#migu5://611318244
浙江少儿,http://ali-vl.cztv.com/channels/lantian/channel008/360p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?
浙江钱江频道,https://zwebl02.cztv.com/live/channel021080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-00cc26403bae15d2d0ef1c4380e4664f
浙江新闻频道,https://zwebl02.cztv.com/live/channel071080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-d7a412e81007d77a8c8e9b582efd7ee3
浙江教科影视,https://zwebl02.cztv.com/live/channel041080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-9c4515bba4ac0ad426356b260449477f
浙江之江纪录,https://zwebl02.cztv.com/live/channel121080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-efed1fc72c5cdbd9a29cd69eaaddfee1
浙江经济生活,https://zwebl02.cztv.com/live/channel031080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-b4fe6682a137b6739ec212c93c5a8def
浙江民生休闲,https://zwebl02.cztv.com/live/channel061080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-282c3b532279f2b8bad8ebde1b41632f
浙江少儿频道,https://zwebl02.cztv.com/live/channel081080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-668e5a5a00e74f14f426cc55210a4ff9
余姚综合,https://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
余姚综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?zzhed
余姚综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
永嘉新闻综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8?zzhed
平湖新闻综合,http://play-sh13.quklive.com/live/1690167908295069.m3u8?auth_key=2027466211-f190eec410c24473825cbe1d8541e545-0-f21db57ae1b534802c1cf7be86cc3aef
龙泉新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
兰溪新闻综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8?zzhed
兰溪新闻综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
普陀新闻综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
普陀电视台,https://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
普陀电视台,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8?zzhed
普陀电视台,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
咪咕视频线路1,#genre#
CCTV1综合,http://152.32.226.172:1234/608807420
CCTV2财经,http://152.32.226.172:1234/631780532
CCTV3综艺,http://152.32.226.172:1234/624878271
CCTV4中文国际,http://152.32.226.172:1234/631780421
CCTV5体育,http://152.32.226.172:1234/641886683
CCTV5+体育赛事,http://152.32.226.172:1234/641886773
CCTV6电影,http://152.32.226.172:1234/624878396
CCTV7国防军事,http://152.32.226.172:1234/673168121
CCTV8电视剧,http://152.32.226.172:1234/624878356
CCTV9纪录,http://152.32.226.172:1234/673168140
CCTV10科教,http://152.32.226.172:1234/624878405
CCTV11戏曲,http://152.32.226.172:1234/667987558
